City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Noumea,NC,80.6,overcast clouds,-22.28,166.46,Hôtel Le Lagon
7,Rikitea,PF,71.69,overcast clouds,-23.12,-134.97,Pension Maro'i
13,Sao Filipe,CV,79.14,overcast clouds,14.9,-24.5,Tortuga B&B
16,Bouna,CI,72.82,overcast clouds,9.27,-3.0,Hotel Reserve
19,Ayorou,NE,75.42,clear sky,14.73,0.92,Hotel Amenokal
20,El Tigre,VE,76.6,scattered clouds,8.89,-64.25,Hotel Santa Cruz
23,Saint-Philippe,RE,80.6,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
34,Kilindoni,TZ,79.97,moderate rain,-7.91,39.67,Bustani B&B
37,Arraial Do Cabo,BR,71.96,overcast clouds,-22.97,-42.03,Pousada Porto Praia
42,Nieuw Amsterdam,SR,78.01,overcast clouds,5.88,-55.08,Hotel Stardust
46,Isangel,VU,84.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
47,Busselton,AU,75.99,broken clouds,-33.65,115.33,Observatory Guest House
51,Rodrigues Alves,BR,75.36,light rain,-7.74,-72.65,Pousada Aconchego
52,Tura,IN,78.57,clear sky,25.52,90.22,Hotel RIKMAN Continental
54,Wanning,CN,80.01,scattered clouds,18.8,110.4,Paradise Hotel
57,Cabedelo,BR,78.8,broken clouds,-6.98,-34.83,Lua Mansa Pousada
58,Souillac,MU,77.0,shower rain,-20.52,57.52,Bils' Villa
60,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
63,Atuona,PF,77.54,light rain,-9.8,-139.03,Villa Enata
77,Hithadhoo,MV,84.43,few clouds,-0.6,73.08,Scoop Guest House
78,Boffa,GN,77.31,clear sky,10.17,-14.03,Hôtel Niara Belly
79,Tual,ID,83.03,overcast clouds,-5.67,132.75,Grand Vilia Hotel
83,Pailon,BO,78.8,smoke,-17.65,-62.75,Alojamiento pailon
88,Kavieng,PG,83.82,broken clouds,-2.57,150.8,Nusa Island Retreat
89,Cabo San Lucas,MX,75.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
90,Bandarbeyla,SO,76.19,broken clouds,9.49,50.81,REER XOOSHLE GROUP
