City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Belaya Gora,RU,68.53,146.42,-3.37,92,99,1.59,overcast clouds
1,Hobart,AU,-42.88,147.33,66.0,44,20,13.87,few clouds
2,Swellendam,ZA,-34.02,20.44,59.0,77,5,8.05,clear sky
3,Albany,US,42.6,-73.97,51.01,93,75,2.98,broken clouds
4,Noumea,NC,-22.28,166.46,80.6,54,90,13.87,overcast clouds
5,Constitucion,CL,-35.33,-72.42,57.97,70,0,7.85,clear sky
6,Ushuaia,AR,-54.8,-68.3,55.4,47,40,18.34,scattered clouds
7,Rikitea,PF,-23.12,-134.97,71.69,75,100,19.46,overcast clouds
8,Narsaq,GL,60.92,-46.05,26.6,79,100,10.29,light snow
9,Torbay,CA,47.67,-52.73,37.0,74,90,17.22,overcast clouds
10,Yabrud,SY,33.97,36.66,55.4,87,75,11.41,broken clouds
11,Qaanaaq,GL,77.48,-69.36,-11.31,68,2,9.69,clear sky
12,Cherskiy,RU,68.75,161.3,2.98,94,99,6.04,light snow
13,Sao Filipe,CV,14.9,-24.5,79.14,75,87,7.43,overcast clouds
14,Mount Gambier,AU,-37.83,140.77,69.8,46,0,6.93,clear sky
15,Port Alfred,ZA,-33.59,26.89,65.53,76,0,8.05,clear sky
16,Bouna,CI,9.27,-3.0,72.82,82,100,4.29,overcast clouds
17,Tiksi,RU,71.69,128.87,-5.94,92,70,2.1,broken clouds
18,Kingman,US,35.19,-114.05,44.6,45,1,18.34,clear sky
19,Ayorou,NE,14.73,0.92,75.42,18,0,9.91,clear sky
20,El Tigre,VE,8.89,-64.25,76.6,85,43,8.95,scattered clouds
21,Mataura,NZ,-46.19,168.86,55.0,60,1,10.0,clear sky
22,Castro,BR,-24.79,-50.01,58.24,63,1,3.62,clear sky
23,Saint-Philippe,RE,-21.36,55.77,80.6,65,0,17.22,clear sky
24,Leh,IN,34.17,77.58,35.74,47,0,3.29,clear sky
25,Barrow,US,71.29,-156.79,30.2,92,90,14.99,light snow
26,Kholodnyy,RU,62.72,147.95,-0.54,88,99,3.83,overcast clouds
27,Cape Town,ZA,-33.93,18.42,59.0,93,75,10.29,light rain
28,Tuktoyaktuk,CA,69.45,-133.04,24.8,85,75,16.11,broken clouds
29,Yashan,CN,22.2,109.94,78.73,50,0,12.93,clear sky
30,Pangnirtung,CA,66.15,-65.71,5.05,83,92,3.74,overcast clouds
31,Dikson,RU,73.51,80.55,-4.29,89,98,12.8,overcast clouds
32,Jamestown,US,42.1,-79.24,53.6,54,1,4.7,clear sky
33,Norman Wells,CA,65.28,-126.83,28.4,92,75,5.82,broken clouds
34,Kilindoni,TZ,-7.91,39.67,79.97,82,29,13.02,moderate rain
35,Kruisfontein,ZA,-34.0,24.73,55.99,92,0,1.01,clear sky
36,Gazanjyk,TM,39.24,55.52,52.45,84,100,7.87,light rain
37,Arraial Do Cabo,BR,-22.97,-42.03,71.96,84,95,8.46,overcast clouds
38,Ancud,CL,-41.87,-73.82,52.0,66,32,17.22,scattered clouds
39,Ibi,ES,38.63,-0.57,57.99,62,0,0.22,clear sky
40,Asau,RO,46.43,26.4,42.01,85,0,4.85,clear sky
41,Khatanga,RU,71.97,102.5,-2.31,87,0,13.96,clear sky
