City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6,-73.97,52.0,67,100,2.17,US,2020-11-06 07:16:37
1,Jaguey Grande,22.53,-81.13,73.4,100,75,5.82,CU,2020-11-06 07:16:37
2,Bluff,-46.6,168.33,52.9,72,0,9.35,NZ,2020-11-06 07:16:38
3,Punta Arenas,-53.15,-70.92,41.0,75,20,11.41,CL,2020-11-06 07:14:09
4,Rikitea,-23.12,-134.97,74.26,77,8,9.78,PF,2020-11-06 07:16:38
5,Ust-Kuyga,70.02,135.6,-22.94,85,98,4.43,RU,2020-11-06 07:16:38
6,Andra,62.51,65.89,36.18,93,100,8.21,RU,2020-11-06 07:16:38
7,Puerto Escondido,15.85,-97.07,76.98,62,100,4.38,MX,2020-11-06 07:11:50
8,Yar-Sale,66.83,70.83,29.03,99,100,13.09,RU,2020-11-06 07:16:39
9,Portree,57.41,-6.19,48.0,92,100,8.99,GB,2020-11-06 07:16:39
10,Srednekolymsk,67.45,153.68,18.07,97,100,21.56,RU,2020-11-06 07:16:39
11,Shingu,33.73,135.98,66.2,59,75,3.36,JP,2020-11-06 07:16:39
12,Ancud,-41.87,-73.82,46.99,93,40,3.36,CL,2020-11-06 07:16:40
13,Torbay,47.67,-52.73,42.01,81,90,21.92,CA,2020-11-06 07:16:40
14,Solnechnyy,50.72,136.63,26.76,86,100,0.31,RU,2020-11-06 07:16:40
15,Puerto Ayora,-0.74,-90.35,69.01,80,0,4.0,EC,2020-11-06 07:16:40
16,Ushuaia,-54.8,-68.3,32.14,91,0,3.44,AR,2020-11-06 07:14:54
17,Hilo,19.73,-155.09,75.2,78,20,8.14,US,2020-11-06 07:16:41
18,Mogadishu,2.04,45.34,84.2,70,40,6.93,SO,2020-11-06 07:12:13
19,Ponta Do Sol,32.67,-17.1,55.99,82,75,8.05,PT,2020-11-06 07:16:41
20,Hurghada,27.26,33.81,75.2,36,0,16.11,EG,2020-11-06 07:16:41
21,Jalu,29.03,21.55,66.85,71,27,6.62,LY,2020-11-06 07:16:42
22,Tuktoyaktuk,69.45,-133.04,5.0,71,75,12.75,CA,2020-11-06 07:16:42
23,Butaritari,3.07,172.79,82.56,73,92,6.87,KI,2020-11-06 07:16:42
24,Enid,36.4,-97.88,54.0,100,1,4.7,US,2020-11-06 07:16:42
25,Ballina,-28.87,153.57,73.4,49,0,16.11,AU,2020-11-06 07:16:43
26,Goderich,43.75,-81.72,53.6,71,72,12.75,CA,2020-11-06 07:16:43
27,East London,-33.02,27.91,71.6,78,20,12.75,ZA,2020-11-06 07:16:43
28,Kapaa,22.08,-159.32,80.6,78,90,8.05,US,2020-11-06 07:13:00
29,Cap Malheureux,-19.98,57.61,80.6,61,40,16.11,MU,2020-11-06 07:16:44
30,Fortuna,40.6,-124.16,53.01,100,90,13.87,US,2020-11-06 07:16:44
31,Wahiawa,21.5,-158.02,80.6,88,75,1.43,US,2020-11-06 07:16:44
32,Jamestown,42.1,-79.24,53.6,58,1,9.17,US,2020-11-06 07:16:44
33,Barrow,71.29,-156.79,21.2,85,90,16.11,US,2020-11-06 07:16:44
34,Chumikan,54.72,135.31,22.78,92,0,15.7,RU,2020-11-06 07:16:45
35,Waiouru,-39.48,175.67,54.39,99,100,2.93,NZ,2020-11-06 07:16:45
36,Norman Wells,65.28,-126.83,-5.8,83,40,9.17,CA,2020-11-06 07:16:45
37,Cherskiy,68.75,161.3,21.02,93,100,24.0,RU,2020-11-06 07:16:45
38,Malartic,48.13,-78.13,35.6,100,90,6.93,CA,2020-11-06 07:16:45
39,Mahebourg,-20.41,57.7,80.6,61,40,16.11,MU,2020-11-06 07:16:46
40,Culfa,38.96,45.63,57.2,87,90,4.7,AZ,2020-11-06 07:16:46
41,Meulaboh,4.14,96.13,83.08,80,100,7.58,ID,2020-11-06 07:16:46
42,Muros,42.78,-9.06,55.99,84,100,1.01,ES,2020-11-06 07:16:46
43,Victoria,22.29,114.16,82.99,61,100,1.01,HK,2020-11-06 07:16:46
44,Coahuayana,18.73,-103.68,74.08,81,5,3.47,MX,2020-11-06 07:16:47
45,Cockburn Town,21.46,-71.14,81.12,71,100,18.37,TC,2020-11-06 07:16:47
46,Aswan,24.09,32.91,74.37,37,0,14.41,EG,2020-11-06 07:16:47
47,Matagami,49.75,-77.63,28.4,100,90,3.36,CA,2020-11-06 07:16:47
48,Nombre De Dios,23.85,-104.23,50.49,45,0,0.76,MX,2020-11-06 07:16:47
49,Port Alfred,-33.59,26.89,70.92,72,54,18.45,ZA,2020-11-06 07:16:48
50,Vardo,70.37,31.11,35.6,79,40,9.17,NO,2020-11-06 07:16:48
51,New Norfolk,-42.78,147.06,55.0,52,90,4.0,AU,2020-11-06 07:16:48
52,Hobart,-42.88,147.33,55.4,54,75,17.22,AU,2020-11-06 07:16:08
53,Carnarvon,-24.87,113.63,77.0,69,0,18.34,AU,2020-11-06 07:16:49
54,Kibala,9.11,18.35,80.6,51,0,9.17,TD,2020-11-06 07:16:49
55,Tucumcari,35.17,-103.72,50.0,61,1,3.36,US,2020-11-06 07:16:49
56,Matara,5.95,80.54,87.78,62,64,9.73,LK,2020-11-06 07:16:49
57,Avarua,-21.21,-159.78,73.4,83,64,5.82,CK,2020-11-06 07:16:49
58,Los Andes,-32.83,-70.6,59.0,94,0,1.14,CL,2020-11-06 07:16:49
59,Ambulong,14.09,121.06,89.6,62,40,6.93,PH,2020-11-06 07:16:50
60,Cabo San Lucas,22.89,-109.91,73.99,87,0,5.73,MX,2020-11-06 07:16:50
61,Esil,51.96,66.4,45.72,55,100,11.65,KZ,2020-11-06 07:16:50
62,Khatanga,71.97,102.5,-3.55,91,100,3.8,RU,2020-11-06 07:16:50
63,Albemarle,35.35,-80.2,55.0,93,1,3.51,US,2020-11-06 07:16:51
64,Shimoda,34.67,138.95,66.2,63,0,5.82,JP,2020-11-06 07:16:51
65,Mount Darwin,-16.77,31.58,87.03,29,0,7.83,ZW,2020-11-06 07:16:51
66,Cape Town,-33.93,18.42,62.01,87,75,17.22,ZA,2020-11-06 07:14:59
67,Sitka,57.05,-135.33,30.2,63,1,3.36,US,2020-11-06 07:16:51
68,Alofi,-19.06,-169.92,73.4,83,40,10.29,NU,2020-11-06 07:16:51
69,Itarema,-2.92,-39.92,78.26,79,90,12.53,BR,2020-11-06 07:16:52
70,San Cristobal,7.77,-72.22,65.08,88,94,1.43,VE,2020-11-06 07:16:52
